"","year","country","weight","langEn","langFr","langOth","langSurveyFr","langSurveyEn","yrBirth","age","age34m","age35p54","age55p","female","relProtest","relCatho","relJewish","relAllOther","relAllChrist","relNone","married","educBHS","educHS","educUniv","ethnAboriginal","ethnWest","ethnEastEur","ethnSubAfrica","ethnMidEastSthAsia","ethnEastAsia","ethnVisible","yearArrivedCdn","immigrantYrInCdn","immigrant","immigrantTen","immigrantLibIncumb","immigrantConsIncumb","urban","rural","incomeLow","incomeMid","incomeHigh","childrenHH","employed","unionHH","publicSect","nfld","pei","ns","nb","quebec","ontario","manitoba","sask","alberta","bc","west","maritimes","roc","religiosity","rightist","rightist_full","libIdpre88","pConsIdpre88","ndpIdpre88","noIdpre88","libIdpreScale88","pConsIdpreScale88","ndpIdpreScale88","strengthIdpre88","ppFeelLib88","ppFeelPCons88","ppFeelNdp88","leadFeelLibpre88","leadFeelPConspre88","leadFeelNdppre88","votedNot88","votedLib88","votedPCons88","votedNdp88","voted_LCN88","voteIntentNot88","voteIntentLib88","voteIntentCons88","voteIntentNdp88","voteIntent88","issAllEcnMI","issEnvMI","issFrgnMI","issImmgAborMI","issAllSocPrMI","issAllMoralMI","issDeath88","issWomMI","issQcMI","issHlthMI","issRghtsMI","issCorrupMI","issFarmerFeel88","issPoorFeel88","issElderlyFeel88","issWomFemFeel88","issLabourFeel88","issEngCanFeel88","issImmgRaceFeel88","issAborigFeel88","issAmericansFeel88","issImmgAdmit88","issEnvVsJobs88","issQcFeel88","issQcSovBin88","issQcSovBin88_WithRoc","issQcSovFour88","govtRightThing","corrupGovt","polInter1Fed88","polInfo2Fed88","x_polInterest88"
"439",1988,"CAN",0.484739929437637,1,0,0,0,1,1939,49,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1941,47,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0.33,1,0.75,0,1,0,0,0,0.66,0,0.66,0.55,0.6,0.3,0.4,0.55,0.2,0,0,1,0,2,0,0,1,0,"Conservatives",1,0,0,0,0,0,NA,0,0,0,0,0,0.6,0.3,0.6,0.4,0.5,0.7,0.35,0.2,NA,0,NA,0.2,NA,0,NA,NA,NA,1,0.75,0.875
"440",1988,"CAN",1.36639225482941,1,0,0,0,1,1930,58,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33,NA,NA,0,1,0,0,0,0.66,0,0.66,0.45,0.7,0,NA,0.6,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0.8,0.8,0.95,NA,0.5,0.7,NA,0.5,NA,0,0.5,0.75,0,0,0,0.5,1,0.75,0.5,0.625
"441",1988,"CAN",0.853546440601349,1,0,0,0,1,1922,66,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1946,42,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.33,NA,NA,0,0,0,0,0,0.33,0,0.33,0.2,0.5,0.2,0.2,0.6,0.8,0,0,0,0,NA,0,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,0,0,0.95,1,1,0.5,0.6,0.95,0.95,0.9,NA,0,1,0.6,NA,0,NA,1,0.5,1,1,1
"442",1988,"CAN",0.969479858875275,1,0,0,0,1,1923,65,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1946,42,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,NA,NA,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,2,0,0,1,0,"Conservatives",0,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.75,0.75,0.75
"443",1988,"CAN",1.13515305519104,0,1,0,1,0,1940,48,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,1,0,0,0,0,0.5,0.55,0.5,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.6,0.7,0.65,0.55,0.5,0.4,0.5,0.5,NA,0,0,0.9,NA,NA,0.5,NA,NA,0.5,0,0.25
"444",1988,"CAN",1.55880343914032,1,0,0,0,1,1922,66,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,NA,NA,NA,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,1,NA,NA,0,1,0,0,0,0.66,0,0.66,NA,NA,NA,NA,0.75,0.35,0,0,1,0,2,0,0,1,0,"Conservatives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.5,0.5,0.5
"445",1988,"CAN",0.426773220300674,1,0,0,0,1,1911,77,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,NA,NA,1,0,0,0,1,0,0,1,NA,NA,NA,0.7,0,0.65,0,1,0,0,1,0,1,0,0,"Liberals",1,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,1,1
"446",1988,"CAN",0.969479858875275,1,0,0,0,1,1964,24,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,0,0,1,0,0,0,1,1,0.7,0.45,1,NA,NA,0.8,0,0,0,1,3,0,0,0,1,"NDP",1,0,0,0,0,0,NA,0,0,0,0,0,1,NA,1,0.7,1,1,1,1,NA,0,NA,1,NA,0,NA,NA,NA,0.75,0.5,0.625
"447",1988,"CAN",1.13515305519104,0,1,0,1,0,1927,61,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0.66,0.66,0.6,0.1,0.05,0.5,0.25,1,0,0,0,0,NA,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0.75,1,1,0.55,0.8,1,0.75,0.75,NA,0,1,0.75,0,0,0.33,1,1,0.5,0.75,0.625
"448",1988,"CAN",0.910928130149841,1,0,0,0,1,1944,44,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,NA,NA,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0,0,0.05,0.1,0.5,0,0,0.8,0,0,1,0,2,0,0,1,0,"Conservatives",0,0,0,0,0,0,1,0,0,0,0,0,0.9,0.7,0.9,0.5,0.1,0.7,0.7,0.7,NA,1,1,0.7,0,0,0,1,1,0.5,0.75,0.625
"449",1988,"CAN",0.576754152774811,0,1,0,1,0,1966,22,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.33,NA,NA,1,0,0,0,0.66,0,0,0.66,NA,NA,NA,0.6,0.52,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0.5,0.5,0.5
"450",1988,"CAN",0.969479858875275,1,0,0,0,1,1953,35,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0.33,NA,NA,0,1,0,0,0,0.66,0,0.66,0.6,0.7,0.25,0.15,0.6,0.3,0,0,1,0,2,0,0,1,0,"Conservatives",1,0,0,0,0,0,1,0,0,0,0,0,0.7,0.6,0.65,0.45,0.4,0.75,0.65,0.65,NA,0,1,0.4,NA,0,NA,1,1,0.75,0.5,0.625
